filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_01aac1e8e536a04e1359a547873042a1d4715f29_2048xbfloat16_150000x1024xbfloat16_2048x1024xbfloat16.mlir,150000,2048,1024,1,,"aten::addmm '[[2048], [150000, 1024], [1024, 2048], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [1024, 1], [1, 1024], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_064d86319d7d574ff9e5bd3eb014c3482c57d106_3840xbfloat16_4352x3840xbfloat16_3840x3840xbfloat16.mlir,4352,3840,3840,1,,"aten::addmm '[[3840], [4352, 3840], [3840, 3840], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_09b2fc22ee0fff786662a546cfc1d213f1b710fa_1024xbfloat16_150000x128xbfloat16_1024x128xbfloat16.mlir,150000,1024,128,1,,"aten::addmm '[[1024], [150000, 128], [128, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [128, 1], [1, 128], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_0aba9baf3d11cce6b30a622b76b9565d7592acd9_2048xbfloat16_4112x2048xbfloat16_2048x2048xbfloat16.mlir,4112,2048,2048,1,,"aten::addmm '[[2048], [4112, 2048], [2048, 2048], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_2fdba8fc05fd6089f0672bdeb064854f59ae3e86_1024xbfloat16_150000x4096xbfloat16_1024x4096xbfloat16.mlir,150000,1024,4096,1,,"aten::addmm '[[1024], [150000, 4096], [4096, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [4096, 1], [1, 4096], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_349cf4bcfc1c79fb1f14af71680b279b1a9b7c16_2048xbfloat16_150000x8192xbfloat16_2048x8192xbfloat16.mlir,150000,2048,8192,1,,"aten::addmm '[[2048], [150000, 8192], [8192, 2048], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [8192, 1], [1, 8192], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_4310a3879ff8292b0d0b67f969250a155a04272e_576xbfloat16_7680x576xbfloat16_576x576xbfloat16.mlir,7680,576,576,1,,"aten::addmm '[[576], [7680, 576], [576, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [576, 1], [1, 576], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_44fa83388f4968b3ed7fb45298a6519c82c8bfbf_576xbfloat16_1280x2304xbfloat16_576x2304xbfloat16.mlir,1280,576,2304,1,,"aten::addmm '[[576], [1280, 2304], [2304, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2304, 1], [1, 2304], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_63377ae0c2ff8f556297bf5316223937a5f18bfc_4096xbfloat16_150000x16384xbfloat16_4096x16384xbfloat16.mlir,150000,4096,16384,1,,"aten::addmm '[[4096], [150000, 16384], [16384, 4096], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [16384, 1], [1, 16384], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_64c9b2d98fe9fc70e0630a238e685b18a44da8a6_576xbfloat16_24576x576xbfloat16_576x576xbfloat16.mlir,24576,576,576,1,,"aten::addmm '[[576], [24576, 576], [576, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [576, 1], [1, 576], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_650376670eca97b03ec2126fdbb308b68b6d63ba_2268xbfloat16_150000x4096xbfloat16_2268x4096xbfloat16.mlir,150000,2268,4096,1,,"aten::addmm '[[2268], [150000, 4096], [4096, 2268], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [4096, 1], [1, 4096], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_6f4e0ef8c9f4e1409baf5934af9c1ec1bc8f3920_128xbfloat16_32768x512xbfloat16_128x512xbfloat16.mlir,32768,128,512,1,,"aten::addmm '[[128], [32768, 512], [512, 128], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_80664950801b4a78801e56bf6c98c0cff266881e_2048xbfloat16_1285x2048xbfloat16_2048x2048xbfloat16.mlir,1285,2048,2048,1,,"aten::addmm '[[2048], [1285, 2048], [2048, 2048], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_86e98178fb92d76ed87f731e22d3d4db9e7681ee_3840xbfloat16_1280x3840xbfloat16_3840x3840xbfloat16.mlir,1280,3840,3840,1,,"aten::addmm '[[3840], [1280, 3840], [3840, 3840], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
